VendorID,Vendor Name,Phone,Email
V001,Global Resources,+12378899036,contact@globalresources.com
V002,Food Energy,+12208680721,contact@foodenergy.com
V003,Green Guys,+14184123264,contact@greenguys.com
V004,Green Aid,+17390654957,contact@greenaid.com
V005,Global Energy,+12813827894,contact@globalenergy.com
V006,Cleaning Systems,+10617866138,contact@cleaningsystems.com
V007,Tech Solutions,+17098423378,contact@techsolutions.com
V008,Water Essentials,+17324314006,contact@wateressentials.com
V009,Edu Systems,+18837712709,contact@edusystems.com
V010,Prime Partners,+16616497405,contact@primepartners.com
V011,Green Resources,+11600160592,contact@greenresources.com
V012,Secure Services,+18778804296,contact@secureservices.com
V013,Green Partners,+13266922177,contact@greenpartners.com
V014,Prime Solutions,+16667835407,contact@primesolutions.com
V015,Medical Partners,+19691918872,contact@medicalpartners.com
V016,Office Energy,+18298156709,contact@officeenergy.com
V017,Edu Energy,+13740453570,contact@eduenergy.com
V018,Tech Guys,+15354816240,contact@techguys.com
V019,Food Systems,+18246242607,contact@foodsystems.com
V020,Medical Aid,+19231962638,contact@medicalaid.com
V021,Tech Solutions,+13484677215,contact@techsolutions.com
V022,Tech Supplies,+17845856957,contact@techsupplies.com
V023,Medical Partners,+15052441136,contact@medicalpartners.com
V024,Cleaning Services,+13324851661,contact@cleaningservices.com
V025,Tech Essentials,+14620412983,contact@techessentials.com
V026,Secure Solutions,+10253822605,contact@securesolutions.com
V027,Green Guys,+16799849906,contact@greenguys.com
V028,Green Systems,+19657222922,contact@greensystems.com
V029,Green Essentials,+10062629646,contact@greenessentials.com
V030,Water Systems,+10796411112,contact@watersystems.com
V031,Secure Partners,+11268945357,contact@securepartners.com
V032,Food Systems,+14564429202,contact@foodsystems.com
V033,Food Solutions,+10814451275,contact@foodsolutions.com
V034,Medical Resources,+16695132532,contact@medicalresources.com
V035,Global Services,+12349050698,contact@globalservices.com
V036,Edu Supplies,+12187433861,contact@edusupplies.com
V037,Prime Essentials,+11193838228,contact@primeessentials.com
V038,Cleaning Services,+10844046475,contact@cleaningservices.com
V039,Medical Services,+12186344451,contact@medicalservices.com
V040,Secure Partners,+18780910973,contact@securepartners.com
V041,Medical Resources,+19703990706,contact@medicalresources.com
V042,Medical Systems,+10957499236,contact@medicalsystems.com
V043,Water Partners,+13600733148,contact@waterpartners.com
V044,Edu Solutions,+12818414359,contact@edusolutions.com
V045,Global Essentials,+19581669755,contact@globalessentials.com
V046,Green Partners,+15190224950,contact@greenpartners.com
V047,Solar Systems,+19947747886,contact@solarsystems.com
V048,Global Aid,+11317084753,contact@globalaid.com
V049,Green Systems,+11732091324,contact@greensystems.com
V050,Tech Systems,+15261191827,contact@techsystems.com
